city,district,feeder,outage_count,high_impact_count,avg_duration_min,max_duration_min,total_affected_customer,total_ens_kwh,force_majeure_count,risk_score
Eskişehir,Odunpazarı,ESK-ODU-FDR-059,8,8,258.25,435,13916,14243.88,0,56.7
Konya,Cihanbeyli,KON-CIH-FDR-002,9,6,229.33,862,9245,40084.6,0,56.66
Konya,Seydişehir,KON-SEY-FDR-011,5,3,487.2,1180,4508,54507.09,0,56.64
Eskişehir,Beylikova,ESK-BEY-FDR-016,5,4,238.0,502,7064,56199.53,0,56.62
Eskişehir,Çifteler,ESK-ÇIF-FDR-060,3,2,297.33,456,5492,65876.17,0,56.59
Sivas,Kangal,SIV-KAN-FDR-057,7,6,169.0,381,11682,34755.1,0,56.56
Kayseri,Kocasinan,KAY-KOC-FDR-058,5,4,74.6,117,15730,31065.55,0,56.48
Sivas,Gürün,SIV-GÜR-FDR-003,5,4,235.8,452,9950,44507.12,0,56.48
Ankara,Etimesgut,ANK-ETI-FDR-014,9,6,157.67,362,13110,28515.34,0,56.46
Sivas,Divriği,SIV-DIV-FDR-057,8,5,227.88,484,7170,51404.49,0,56.38
Konya,Beyşehir,KON-BEY-FDR-011,5,3,200.2,396,8430,55525.86,0,56.38
Ankara,Polatlı,ANK-POL-FDR-038,7,6,321.0,973,11453,26139.6,0,56.36
Sivas,Suşehri,SIV-SUS-FDR-051,5,2,163.4,410,11048,49978.02,0,56.24
Konya,Selçuklu,KON-SEL-FDR-002,7,4,75.43,148,19713,13598.09,0,56.24
Eskişehir,Seyitgazi,ESK-SEY-FDR-035,6,6,231.83,394,9743,38586.18,0,56.23
Sivas,Merkez,SIV-MER-FDR-031,6,6,222.83,355,12738,27134.86,0,56.23
Konya,Selçuklu,KON-SEL-FDR-060,7,3,227.29,721,7525,56103.28,0,56.17
Eskişehir,Odunpazarı,ESK-ODU-FDR-004,4,2,128.5,418,10439,54816.1,0,56.14
Ankara,Pursaklar,ANK-PUR-FDR-002,5,5,254.8,491,7547,49222.38,0,56.1
Konya,Cihanbeyli,KON-CIH-FDR-022,4,3,436.25,1188,7614,44379.53,0,56.01
Ankara,Polatlı,ANK-POL-FDR-058,6,6,142.17,328,13154,29825.67,0,55.99
Sivas,Hafik,SIV-HAF-FDR-036,5,5,120.2,241,13365,33782.35,0,55.98
Eskişehir,Beylikova,ESK-BEY-FDR-040,6,5,141.5,224,12383,35898.7,0,55.96
Sivas,Gürün,SIV-GÜR-FDR-039,5,2,154.2,302,9812,54835.01,0,55.92
Konya,Ereğli,KON-ERE-FDR-020,4,3,229.5,687,13716,32150.88,0,55.89
Eskişehir,İnönü,ESK-INÖ-FDR-059,6,4,223.67,609,8512,49314.52,0,55.89
Eskişehir,Seyitgazi,ESK-SEY-FDR-006,5,3,161.8,406,10411,48831.7,0,55.84
Sivas,Hafik,SIV-HAF-FDR-035,7,5,209.86,524,11778,33469.22,0,55.84
Konya,Beyşehir,KON-BEY-FDR-041,10,8,132.0,383,12056,26533.9,0,55.84
Sivas,Zara,SIV-ZAR-FDR-024,8,6,143.62,413,14941,21235.75,0,55.81
Kayseri,Talas,KAY-TAL-FDR-039,4,4,115.75,203,14966,30708.51,0,55.76
Kayseri,Yeşilhisar,KAY-YES-FDR-001,9,5,173.56,746,7757,50525.49,0,55.73
Sivas,Yıldızeli,SIV-YIL-FDR-047,5,4,314.4,465,7248,48988.49,0,55.67
Ankara,Sincan,ANK-SIN-FDR-006,4,4,238.25,510,13639,28482.89,0,55.67
Eskişehir,Beylikova,ESK-BEY-FDR-011,12,9,152.75,395,11959,21291.91,0,55.65
Ankara,Sincan,ANK-SIN-FDR-019,5,5,223.8,361,10249,39186.99,0,55.56
Eskişehir,Odunpazarı,ESK-ODU-FDR-039,5,5,104.6,224,15834,23979.53,0,55.55
Sivas,Gürün,SIV-GÜR-FDR-053,5,5,248.8,597,8530,44473.52,0,55.51
Sivas,Şarkışla,SIV-SAR-FDR-014,5,4,188.0,326,13932,29466.54,0,55.49
Sivas,Zara,SIV-ZAR-FDR-019,7,5,60.43,158,15686,26075.69,0,55.47
Kayseri,Yahyalı,KAY-YAH-FDR-030,9,7,173.78,418,10503,32956.67,0,55.45
Kayseri,Tomarza,KAY-TOM-FDR-021,9,7,235.56,508,8075,38953.81,0,55.44
Konya,Karatay,KON-KAR-FDR-002,5,3,161.6,462,10489,47645.08,0,55.4
Konya,Meram,KON-MER-FDR-023,8,5,175.88,365,10858,37761.24,0,55.37
Sivas,Merkez,SIV-MER-FDR-006,6,5,104.33,185,15165,25760.64,0,55.34
Ankara,Mamak,ANK-MAM-FDR-024,11,5,115.09,354,14045,27030.0,0,55.31
Sivas,Gemerek,SIV-GEM-FDR-053,9,6,184.22,518,10720,34164.17,0,55.3
Eskişehir,Alpu,ESK-ALP-FDR-027,3,3,171.33,288,11560,43583.0,0,55.3
Konya,Karatay,KON-KAR-FDR-049,6,3,143.83,234,11529,43797.9,0,55.27
Konya,Akşehir,KON-AKS-FDR-059,7,5,164.86,462,14582,23716.49,1,55.22
Ankara,Keçiören,ANK-KEÇ-FDR-004,6,4,267.5,625,6870,51883.01,0,55.21
Sivas,Yıldızeli,SIV-YIL-FDR-038,4,4,178.25,390,14376,28184.78,0,55.19
Eskişehir,Çifteler,ESK-ÇIF-FDR-001,7,6,255.14,806,8867,38089.72,0,55.18
Ankara,Keçiören,ANK-KEÇ-FDR-014,6,5,226.67,396,10423,36954.07,0,55.12
Kayseri,Melikgazi,KAY-MEL-FDR-044,9,8,302.78,544,7372,34003.13,0,55.08
Sivas,Suşehri,SIV-SUS-FDR-055,7,5,209.14,475,11129,34417.74,0,54.99
Sivas,Suşehri,SIV-SUS-FDR-049,6,4,122.17,288,17258,18551.02,0,54.96
Ankara,Etimesgut,ANK-ETI-FDR-010,7,3,58.43,170,17501,23827.08,0,54.92
Konya,Seydişehir,KON-SEY-FDR-043,4,2,131.25,237,9860,54394.37,0,54.85
Konya,Beyşehir,KON-BEY-FDR-028,5,5,250.8,415,9426,39425.5,0,54.84
Kayseri,Bünyan,KAY-BÜN-FDR-033,2,2,209.0,336,15692,27349.43,0,54.83
Ankara,Çankaya,ANK-ÇAN-FDR-001,4,4,193.5,259,9619,45552.47,0,54.82
Eskişehir,Çifteler,ESK-ÇIF-FDR-020,5,5,245.6,613,11541,31199.36,0,54.8
Sivas,Kangal,SIV-KAN-FDR-042,7,6,412.14,829,5433,41626.43,0,54.79
Sivas,Gemerek,SIV-GEM-FDR-049,4,4,386.5,542,8281,39211.85,0,54.76
Kayseri,Tomarza,KAY-TOM-FDR-060,3,2,194.0,312,10052,50141.76,0,54.74
Ankara,Etimesgut,ANK-ETI-FDR-004,6,3,131.83,285,12637,38978.0,0,54.72
Sivas,Gürün,SIV-GÜR-FDR-055,6,6,170.0,316,10827,34920.16,0,54.71
Ankara,Keçiören,ANK-KEÇ-FDR-012,4,4,324.25,610,7392,46310.55,0,54.67
Kayseri,Develi,KAY-DEV-FDR-055,5,5,190.8,535,15975,16389.65,0,54.62
Eskişehir,İnönü,ESK-INÖ-FDR-024,6,3,156.0,325,12651,37075.37,0,54.52
Konya,Cihanbeyli,KON-CIH-FDR-043,6,4,173.33,270,11436,37859.28,0,54.5
Eskişehir,Alpu,ESK-ALP-FDR-039,4,4,291.25,693,14490,19348.14,0,54.39
Sivas,Zara,SIV-ZAR-FDR-029,7,4,156.71,315,14293,26619.03,0,54.35
Sivas,Yıldızeli,SIV-YIL-FDR-044,6,4,161.0,364,17040,15872.01,0,54.35
Eskişehir,Tepebaşı,ESK-TEP-FDR-021,6,3,197.5,507,13971,28886.25,0,54.31
Eskişehir,Seyitgazi,ESK-SEY-FDR-026,5,3,117.6,264,10504,47988.84,0,54.28
Eskişehir,Mahmudiye,ESK-MAH-FDR-026,8,5,179.0,610,11629,32296.09,0,54.28
Eskişehir,Tepebaşı,ESK-TEP-FDR-025,5,3,159.0,258,10120,46998.34,0,54.26
Ankara,Keçiören,ANK-KEÇ-FDR-038,5,4,161.4,249,12660,33566.8,0,54.2
Sivas,Yıldızeli,SIV-YIL-FDR-024,3,3,294.33,423,8300,46986.72,0,54.17
Eskişehir,Alpu,ESK-ALP-FDR-023,5,4,233.6,314,9901,40142.56,0,54.13
Sivas,Divriği,SIV-DIV-FDR-031,4,4,224.0,432,16082,16470.55,0,54.12
Ankara,Etimesgut,ANK-ETI-FDR-001,5,5,189.8,402,13228,26359.34,0,54.08
Eskişehir,Tepebaşı,ESK-TEP-FDR-048,6,4,173.17,523,16174,18051.82,0,54.07
Sivas,Yıldızeli,SIV-YIL-FDR-035,7,7,243.0,576,11376,23532.14,0,54.06
Sivas,Merkez,SIV-MER-FDR-028,4,4,207.75,346,14026,25481.94,0,54.03
Sivas,Merkez,SIV-MER-FDR-018,7,6,178.29,324,9173,39065.52,1,53.98
Ankara,Keçiören,ANK-KEÇ-FDR-017,5,5,259.8,319,8825,39512.17,0,53.95
Kayseri,Develi,KAY-DEV-FDR-056,6,4,221.0,396,8289,46450.09,0,53.93
Konya,Meram,KON-MER-FDR-055,5,4,132.8,217,10671,42569.71,0,53.86
Kayseri,Yahyalı,KAY-YAH-FDR-057,5,5,229.8,540,13777,21183.63,0,53.79
Kayseri,Pınarbaşı,KAY-PIN-FDR-027,5,4,171.6,378,11978,34835.86,0,53.77
Sivas,Divriği,SIV-DIV-FDR-006,9,7,142.11,367,12485,23516.81,0,53.74
Sivas,Divriği,SIV-DIV-FDR-028,7,5,173.29,389,9632,39971.53,1,53.7
Ankara,Gölbaşı,ANK-GÖL-FDR-033,9,6,130.0,321,15339,15641.76,0,53.65
Eskişehir,İnönü,ESK-INÖ-FDR-021,7,6,182.43,558,12030,26738.93,0,53.65
Kayseri,Bünyan,KAY-BÜN-FDR-034,3,2,272.33,410,7210,54617.12,0,53.65
Eskişehir,Tepebaşı,ESK-TEP-FDR-026,4,4,183.25,318,12135,33660.04,0,53.6
Sivas,Yıldızeli,SIV-YIL-FDR-048,7,5,193.14,348,8472,43171.47,0,53.57
Kayseri,Pınarbaşı,KAY-PIN-FDR-011,4,2,311.5,984,10317,39159.82,0,53.56
Konya,Kulu,KON-KUL-FDR-042,5,3,214.4,431,8156,50094.47,0,53.54
Eskişehir,Mihalıççık,ESK-MIH-FDR-045,10,5,133.9,325,10935,34905.7,0,53.34
Eskişehir,Mahmudiye,ESK-MAH-FDR-030,7,4,148.71,333,12471,32355.21,0,53.33
Sivas,Divriği,SIV-DIV-FDR-020,4,4,178.75,327,11084,37561.66,0,53.31
Sivas,Kangal,SIV-KAN-FDR-031,8,6,219.0,379,9227,34554.4,0,53.3
Ankara,Altındağ,ANK-ALT-FDR-003,8,8,227.25,431,10135,24374.31,0,53.27
Konya,Ilgın,KON-ILG-FDR-030,7,6,215.0,332,8591,37780.42,0,53.27
Konya,Ereğli,KON-ERE-FDR-013,6,5,195.17,422,10555,34551.58,0,53.24
Eskişehir,Seyitgazi,ESK-SEY-FDR-055,3,3,443.0,744,9703,30573.79,0,53.23
Konya,Karatay,KON-KAR-FDR-037,5,5,108.6,291,15694,19675.89,0,53.23
Kayseri,Tomarza,KAY-TOM-FDR-012,9,7,127.0,290,14430,15585.42,0,53.21
Eskişehir,Sivrihisar,ESK-SIV-FDR-028,4,3,232.5,394,11806,34049.39,0,53.11
Sivas,Suşehri,SIV-SUS-FDR-009,5,4,238.2,403,7334,48095.98,0,53.11
Konya,Ilgın,KON-ILG-FDR-051,8,5,202.5,501,8417,41381.21,0,53.1
Sivas,Suşehri,SIV-SUS-FDR-044,7,6,181.57,344,15244,12813.05,0,53.09
Sivas,Şarkışla,SIV-SAR-FDR-004,5,4,205.8,346,10675,36589.45,0,53.07
Eskişehir,Çifteler,ESK-ÇIF-FDR-033,5,5,226.0,357,9554,36842.1,0,53.06
Sivas,Gemerek,SIV-GEM-FDR-052,7,5,260.29,398,6766,44888.13,0,53.03
Konya,Akşehir,KON-AKS-FDR-032,5,2,106.0,163,12604,40628.99,0,52.95
Sivas,Divriği,SIV-DIV-FDR-033,5,5,268.8,413,6943,44409.66,0,52.9
Konya,Akşehir,KON-AKS-FDR-043,6,3,156.67,322,9176,47684.25,0,52.89
Konya,Beyşehir,KON-BEY-FDR-001,5,5,230.0,543,7114,45759.13,0,52.76
Ankara,Etimesgut,ANK-ETI-FDR-048,8,5,165.62,387,9509,38518.89,0,52.75
Sivas,Gemerek,SIV-GEM-FDR-046,2,1,290.5,424,6113,59504.81,0,52.69
Kayseri,Pınarbaşı,KAY-PIN-FDR-044,8,4,155.62,318,9237,43061.86,0,52.67
Ankara,Gölbaşı,ANK-GÖL-FDR-003,4,3,243.0,441,11904,31918.46,0,52.56
Kayseri,Yeşilhisar,KAY-YES-FDR-040,4,3,141.25,314,10255,44614.4,0,52.55
Konya,Seydişehir,KON-SEY-FDR-019,7,5,172.43,453,9927,36513.11,0,52.53
Sivas,Merkez,SIV-MER-FDR-040,8,5,221.12,536,8605,38329.53,0,52.51
Ankara,Sincan,ANK-SIN-FDR-032,7,6,239.43,489,10280,28010.12,0,52.5
Kayseri,Yahyalı,KAY-YAH-FDR-058,4,3,303.0,733,7261,46752.53,0,52.49
Eskişehir,Sivrihisar,ESK-SIV-FDR-036,5,5,139.0,326,14802,19865.66,0,52.46
Eskişehir,Mihalıççık,ESK-MIH-FDR-021,7,4,152.71,315,18021,8042.03,0,52.39
Kayseri,Kocasinan,KAY-KOC-FDR-053,4,3,168.75,359,12401,34038.57,0,52.38
Eskişehir,Mihalıççık,ESK-MIH-FDR-041,5,4,101.2,464,13517,30129.71,0,52.38
Eskişehir,Alpu,ESK-ALP-FDR-025,5,4,210.6,441,7852,46201.26,0,52.37
Sivas,Hafik,SIV-HAF-FDR-004,7,4,118.14,292,14224,25213.79,0,52.35
Sivas,Şarkışla,SIV-SAR-FDR-020,4,4,202.25,266,9887,38993.98,0,52.34
Sivas,Hafik,SIV-HAF-FDR-059,4,3,293.25,622,8636,41510.96,0,52.32
Konya,Karatay,KON-KAR-FDR-005,6,4,213.0,419,10567,34439.98,0,52.24
Ankara,Mamak,ANK-MAM-FDR-046,3,2,94.33,198,16192,26434.75,0,52.18
Ankara,Altındağ,ANK-ALT-FDR-026,4,2,123.0,336,16354,23512.91,0,52.15
Kayseri,Develi,KAY-DEV-FDR-008,6,6,317.33,490,5861,40741.77,0,52.11
Ankara,Keçiören,ANK-KEÇ-FDR-031,5,5,172.6,430,13897,20517.53,0,51.98
Kayseri,Yahyalı,KAY-YAH-FDR-039,6,3,112.5,173,13865,29695.75,0,51.95
Ankara,Polatlı,ANK-POL-FDR-006,9,8,223.0,516,9932,22295.3,0,51.95
Eskişehir,İnönü,ESK-INÖ-FDR-027,6,4,193.83,632,7127,48751.0,0,51.94
Eskişehir,Seyitgazi,ESK-SEY-FDR-020,8,7,197.38,347,9156,30379.59,0,51.92
Konya,Beyşehir,KON-BEY-FDR-038,6,5,171.5,406,8327,42223.86,0,51.91
Konya,Ilgın,KON-ILG-FDR-024,4,4,220.75,336,11434,30821.54,0,51.9
Kayseri,Yahyalı,KAY-YAH-FDR-056,5,5,340.0,583,7776,34773.11,0,51.89
Konya,Ereğli,KON-ERE-FDR-053,4,3,121.75,250,14823,26126.81,0,51.86
Kayseri,Melikgazi,KAY-MEL-FDR-011,6,3,185.33,681,9343,43189.49,0,51.84
Eskişehir,İnönü,ESK-INÖ-FDR-054,6,3,182.67,427,8511,46550.7,0,51.78
Konya,Meram,KON-MER-FDR-013,5,3,97.8,231,14274,29081.2,0,51.77
Ankara,Sincan,ANK-SIN-FDR-052,5,5,81.8,184,15712,18269.57,0,51.76
Ankara,Çankaya,ANK-ÇAN-FDR-029,5,4,196.2,280,11559,30943.11,0,51.73
Sivas,Gemerek,SIV-GEM-FDR-039,8,6,196.88,365,9205,32817.16,0,51.72
Eskişehir,Sivrihisar,ESK-SIV-FDR-015,4,2,126.5,265,13292,34562.81,0,51.66
Kayseri,Bünyan,KAY-BÜN-FDR-031,11,6,121.55,340,13291,19324.78,0,51.64
Kayseri,Melikgazi,KAY-MEL-FDR-031,3,3,297.33,679,12673,24232.12,0,51.63
Ankara,Pursaklar,ANK-PUR-FDR-053,6,6,175.17,337,13038,19601.28,0,51.63
Sivas,Merkez,SIV-MER-FDR-056,9,7,265.0,510,7265,32770.78,0,51.62
Kayseri,Yeşilhisar,KAY-YES-FDR-059,4,3,198.75,308,9647,41690.67,0,51.6
Konya,Seydişehir,KON-SEY-FDR-033,3,1,156.67,347,8860,53837.99,0,51.59
Kayseri,Melikgazi,KAY-MEL-FDR-057,5,5,131.0,254,14140,21259.92,0,51.59
Konya,Seydişehir,KON-SEY-FDR-027,6,3,119.83,330,10832,40518.43,0,51.52
Sivas,Zara,SIV-ZAR-FDR-040,6,6,145.0,314,12061,24961.66,0,51.45
Ankara,Yenimahalle,ANK-YEN-FDR-019,4,4,239.5,495,11321,29248.44,0,51.45
Ankara,Sincan,ANK-SIN-FDR-022,4,4,210.75,378,9963,36197.65,0,51.35
Ankara,Altındağ,ANK-ALT-FDR-045,5,3,162.8,331,10292,40171.4,0,51.3
Kayseri,Talas,KAY-TAL-FDR-015,7,4,156.57,547,9352,40174.15,0,51.24
Sivas,Hafik,SIV-HAF-FDR-008,6,4,244.33,696,10549,30594.28,0,51.23
Eskişehir,Odunpazarı,ESK-ODU-FDR-053,3,3,457.67,689,7044,36328.91,0,51.23
Ankara,Yenimahalle,ANK-YEN-FDR-026,4,3,239.5,376,6568,50777.59,0,51.21
Ankara,Gölbaşı,ANK-GÖL-FDR-056,5,3,84.6,202,11357,40394.61,0,51.2
Konya,Selçuklu,KON-SEL-FDR-018,6,6,185.83,613,13850,14820.69,0,51.19
Ankara,Çankaya,ANK-ÇAN-FDR-033,3,3,128.67,203,14336,26690.94,0,51.13
Kayseri,İncesu,KAY-INC-FDR-023,6,5,181.67,273,8415,39676.33,0,51.12
Ankara,Sincan,ANK-SIN-FDR-016,6,5,103.5,276,17901,6435.87,0,51.12
Eskişehir,Beylikova,ESK-BEY-FDR-013,6,4,254.67,743,10179,31210.95,0,51.1
Konya,Kulu,KON-KUL-FDR-007,5,3,121.6,222,12736,32437.45,0,51.09
Konya,Akşehir,KON-AKS-FDR-021,4,3,291.25,802,9875,34068.02,0,51.02
Eskişehir,İnönü,ESK-INÖ-FDR-034,9,7,157.44,363,10839,23632.42,0,50.97
Sivas,Zara,SIV-ZAR-FDR-058,9,6,154.11,359,11933,22448.18,0,50.96
Konya,Ilgın,KON-ILG-FDR-037,8,6,135.88,228,11787,24509.2,0,50.9
Sivas,Gürün,SIV-GÜR-FDR-006,6,2,91.67,328,15784,24123.87,0,50.88
Konya,Seydişehir,KON-SEY-FDR-023,5,5,179.0,295,11647,26867.24,0,50.85
Eskişehir,Beylikova,ESK-BEY-FDR-050,8,5,165.12,408,11109,28314.67,0,50.83
Kayseri,Yeşilhisar,KAY-YES-FDR-041,7,4,180.43,339,9885,35777.19,0,50.82
Sivas,Yıldızeli,SIV-YIL-FDR-006,5,4,205.0,298,11901,27228.93,0,50.82
Sivas,Divriği,SIV-DIV-FDR-055,6,4,267.5,610,5525,48497.95,1,50.82
Kayseri,Kocasinan,KAY-KOC-FDR-039,7,6,135.0,430,12788,20694.24,0,50.72
Eskişehir,Tepebaşı,ESK-TEP-FDR-056,9,6,240.44,523,7991,32533.27,0,50.71
Sivas,Divriği,SIV-DIV-FDR-036,6,6,253.5,488,10516,23072.89,0,50.67
Eskişehir,Alpu,ESK-ALP-FDR-058,5,5,278.4,525,7728,36142.14,0,50.63
Sivas,Merkez,SIV-MER-FDR-021,6,4,203.17,395,8174,41367.36,0,50.63
Sivas,Şarkışla,SIV-SAR-FDR-011,4,4,136.25,195,11352,33625.24,0,50.6
Ankara,Keçiören,ANK-KEÇ-FDR-010,5,5,128.8,414,17513,5886.14,0,50.58
Eskişehir,Tepebaşı,ESK-TEP-FDR-033,11,6,173.45,490,7882,35706.63,0,50.57
Eskişehir,İnönü,ESK-INÖ-FDR-050,6,5,221.5,450,10366,28377.23,0,50.57
Ankara,Sincan,ANK-SIN-FDR-007,6,4,262.67,484,8908,34571.98,0,50.48
Eskişehir,Beylikova,ESK-BEY-FDR-041,6,4,166.83,414,7403,46263.8,0,50.44
Sivas,Divriği,SIV-DIV-FDR-012,5,4,192.2,379,14660,16085.32,0,50.38
Kayseri,Tomarza,KAY-TOM-FDR-055,5,5,194.2,290,9481,33660.74,0,50.37
Ankara,Çankaya,ANK-ÇAN-FDR-047,7,4,121.14,459,14104,21532.88,0,50.36
Kayseri,Talas,KAY-TAL-FDR-018,8,5,199.12,622,11238,24818.21,0,50.36
Eskişehir,Seyitgazi,ESK-SEY-FDR-050,8,6,127.25,331,10856,27644.78,0,50.35
Konya,Beyşehir,KON-BEY-FDR-034,4,3,108.25,206,15634,20574.73,0,50.3
Eskişehir,Çifteler,ESK-ÇIF-FDR-004,9,7,156.78,330,10611,23177.89,0,50.26
Sivas,Zara,SIV-ZAR-FDR-039,7,5,279.57,561,10564,22967.33,0,50.25
Sivas,Merkez,SIV-MER-FDR-054,6,5,218.5,444,10037,29196.56,0,50.23
Eskişehir,Sivrihisar,ESK-SIV-FDR-050,7,4,111.71,345,15308,16975.27,0,50.2
Ankara,Keçiören,ANK-KEÇ-FDR-006,7,5,119.86,212,12516,24561.19,0,50.16
Ankara,Yenimahalle,ANK-YEN-FDR-018,4,4,400.0,829,8022,30136.07,0,50.11
Kayseri,Melikgazi,KAY-MEL-FDR-027,10,7,248.8,570,9556,20926.62,0,50.04
Konya,Kulu,KON-KUL-FDR-047,6,5,350.5,620,5393,39459.51,0,50.03
Eskişehir,Alpu,ESK-ALP-FDR-046,4,3,274.75,749,8076,40187.04,0,49.99
Konya,Ereğli,KON-ERE-FDR-047,4,4,306.5,446,5776,44474.63,0,49.98
Ankara,Polatlı,ANK-POL-FDR-050,7,5,224.14,356,8903,32354.47,1,49.96
Sivas,Hafik,SIV-HAF-FDR-048,6,6,244.5,434,11833,16904.2,0,49.95
Sivas,Merkez,SIV-MER-FDR-023,5,3,183.8,630,11479,31350.92,0,49.9
Ankara,Etimesgut,ANK-ETI-FDR-051,6,3,121.5,441,14692,21688.6,0,49.87
Eskişehir,Mihalıççık,ESK-MIH-FDR-002,4,3,403.25,887,5744,41533.94,0,49.85
Konya,Meram,KON-MER-FDR-051,7,5,236.71,422,12769,15852.88,0,49.82
Kayseri,Develi,KAY-DEV-FDR-017,6,5,220.83,531,9741,29239.76,0,49.73
Sivas,Zara,SIV-ZAR-FDR-055,8,6,111.5,367,12119,22165.7,0,49.67
Kayseri,Tomarza,KAY-TOM-FDR-010,4,2,100.5,186,17139,16674.18,0,49.63
Sivas,Kangal,SIV-KAN-FDR-011,7,3,224.14,569,6512,47216.86,0,49.61
Ankara,Çankaya,ANK-ÇAN-FDR-044,6,4,243.5,479,5970,45731.68,0,49.61
Konya,Akşehir,KON-AKS-FDR-014,5,3,107.6,225,15138,20641.74,0,49.57
Konya,Selçuklu,KON-SEL-FDR-036,6,4,117.83,272,12149,28262.67,0,49.46
Konya,Beyşehir,KON-BEY-FDR-005,4,4,376.0,530,6774,35257.04,0,49.46
Konya,Meram,KON-MER-FDR-059,3,3,404.33,772,5683,41426.09,0,49.46
Konya,Ereğli,KON-ERE-FDR-007,8,4,108.75,341,12129,27770.67,0,49.41
Kayseri,Kocasinan,KAY-KOC-FDR-041,8,5,83.5,208,13133,22271.8,0,49.41
Sivas,Zara,SIV-ZAR-FDR-001,7,3,233.0,676,7593,41966.65,0,49.41
Ankara,Yenimahalle,ANK-YEN-FDR-043,4,2,186.25,362,6890,52057.64,0,49.4
Kayseri,Yeşilhisar,KAY-YES-FDR-052,6,5,183.17,352,13332,16452.46,0,49.39
Kayseri,Tomarza,KAY-TOM-FDR-039,5,4,153.0,303,9482,37052.62,0,49.33
Sivas,Divriği,SIV-DIV-FDR-014,6,5,154.17,393,10349,30006.28,0,49.33
Ankara,Sincan,ANK-SIN-FDR-014,7,6,185.29,423,8561,31694.09,0,49.28
Eskişehir,Seyitgazi,ESK-SEY-FDR-039,3,1,119.0,197,9746,47897.69,0,49.26
Ankara,Pursaklar,ANK-PUR-FDR-029,5,3,235.0,385,8038,40765.99,0,49.26
Kayseri,Talas,KAY-TAL-FDR-043,7,4,181.29,729,7588,41743.09,0,49.24
Ankara,Polatlı,ANK-POL-FDR-031,3,2,188.0,240,9501,41629.3,0,49.21
Sivas,Gemerek,SIV-GEM-FDR-060,5,2,154.0,320,7783,49543.23,0,49.21
Ankara,Etimesgut,ANK-ETI-FDR-046,7,5,275.57,567,7972,31432.25,0,49.18
Eskişehir,Odunpazarı,ESK-ODU-FDR-057,3,3,283.0,368,9312,33634.54,0,49.18
Ankara,Gölbaşı,ANK-GÖL-FDR-009,6,4,115.67,325,13110,23959.83,0,49.17
Sivas,Zara,SIV-ZAR-FDR-006,7,5,237.86,674,11424,19803.89,0,49.14
Konya,Beyşehir,KON-BEY-FDR-060,5,5,243.8,654,8538,31963.68,0,49.12
Kayseri,Talas,KAY-TAL-FDR-014,5,5,286.2,684,11987,15573.9,0,49.1
Sivas,Hafik,SIV-HAF-FDR-049,8,6,230.75,558,7376,32808.45,0,49.08
Ankara,Pursaklar,ANK-PUR-FDR-025,5,5,215.2,469,6911,40086.09,0,49.07
Sivas,Şarkışla,SIV-SAR-FDR-010,6,5,219.83,599,8961,31047.26,0,49.04
Ankara,Yenimahalle,ANK-YEN-FDR-014,4,4,216.25,341,9798,31912.64,0,49.04
Sivas,Yıldızeli,SIV-YIL-FDR-002,5,4,343.4,661,6087,38562.82,0,49.01
Kayseri,Pınarbaşı,KAY-PIN-FDR-004,5,3,252.6,502,5034,51215.3,0,49.0
Eskişehir,Tepebaşı,ESK-TEP-FDR-054,6,4,136.0,295,11585,28256.88,0,48.88
Kayseri,İncesu,KAY-INC-FDR-060,5,5,351.0,569,6000,35143.36,0,48.85
Konya,Beyşehir,KON-BEY-FDR-046,5,4,140.6,331,10027,34605.01,0,48.82
Eskişehir,Seyitgazi,ESK-SEY-FDR-042,7,5,124.43,239,10201,30877.74,0,48.82
Kayseri,Develi,KAY-DEV-FDR-006,8,6,166.62,403,12960,13776.78,0,48.81
Ankara,Sincan,ANK-SIN-FDR-008,8,5,194.75,500,8685,32185.11,0,48.81
Eskişehir,Sivrihisar,ESK-SIV-FDR-018,8,6,286.62,680,5905,34721.94,0,48.77
Kayseri,Kocasinan,KAY-KOC-FDR-054,4,1,248.25,761,3672,62919.15,0,48.75
Konya,Akşehir,KON-AKS-FDR-022,5,5,215.2,350,8814,31835.66,0,48.75
Sivas,Merkez,SIV-MER-FDR-005,5,4,303.0,678,6388,39252.19,0,48.74
Kayseri,Tomarza,KAY-TOM-FDR-024,8,4,168.25,370,7914,39703.98,0,48.73
Konya,Akşehir,KON-AKS-FDR-033,8,6,196.62,680,10323,22336.0,0,48.71
Konya,Cihanbeyli,KON-CIH-FDR-013,7,6,187.43,483,10244,23666.78,0,48.69
Kayseri,Develi,KAY-DEV-FDR-029,7,5,217.14,442,8956,30034.41,0,48.69
Kayseri,Kocasinan,KAY-KOC-FDR-042,4,3,132.5,185,10333,37084.74,0,48.68
Konya,Selçuklu,KON-SEL-FDR-014,6,4,151.17,301,10434,31530.71,0,48.67
Kayseri,Kocasinan,KAY-KOC-FDR-001,8,5,176.88,356,9033,31604.09,0,48.67
Eskişehir,Mahmudiye,ESK-MAH-FDR-027,6,4,166.67,333,11047,28096.92,0,48.64
Ankara,Polatlı,ANK-POL-FDR-007,4,4,218.75,541,9221,33040.77,0,48.52
Sivas,Gemerek,SIV-GEM-FDR-014,5,4,219.6,370,9924,29664.68,0,48.52
Sivas,Gürün,SIV-GÜR-FDR-034,6,3,150.83,388,15147,15227.63,0,48.43
